id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Leonie;Marks;Curt94@yahoo.com;harness Designer;2023-06-15T22:47:51;42033;49563
2;Kurtis;Mohr;Penelope36@hotmail.com;Bicycle;2023-06-16T16:40:30;94904;62801
3;Salma;Pacocha;Elroy42@yahoo.com;admission Kitts sequi;2023-06-16T05:26:20;51656;36114
4;Soledad;Stracke;Giovani.Bruen98@hotmail.com;Recycled Rock Grocery;2023-06-16T00:05:48;45822;1290
5;Ruthe;MacGyver;Faustino37@hotmail.com;Well ew;2023-06-16T05:32:41;91833;15985
6;Lacy;Heller;Joanny_Huels7@hotmail.com;Manager Russian;2023-06-15T20:47:09;18741;19426
7;Royal;Windler;Vicenta.Wunsch@hotmail.com;radian;2023-06-16T04:09:54;8278;2172
8;Nola;Hintz;Al.Littel97@hotmail.com;North Concrete;2023-06-16T17:41:45;22376;38865
9;Robbie;Beahan;Israel27@gmail.com;Fiat Folk Toys;2023-06-16T07:28:05;85952;37791
10;Stephon;Lebsack;Otha48@hotmail.com;bandwidth Northwest;2023-06-16T17:18:22;24042;53538
